anchor,dmc,hex,name
218,319,#236831,vy dkpistachio green
218,890,#144B26,ul dk pistachio green
219,3813,#b2d4bd,lt blue green
221,502,#598d6e,blue green
224,3818,#00692d,ul vy dk emerald greene
225,702,#46a42e,kelly green
226,702,#46A42E,kelly green
227,701,#1C8817,lt green
228,700,#07711a,bright green
229,910,#1E9044,dk emerald green
230,909,#0B7C38,vy dk emerald green
231,453,#D1C3CF,lt shell gray
232,452,#AE9AA4,md shell gray
233,451,#7C696D,dk shell gray
234,762,#E2E2E7,vy lt pearl gray
235,414,#7C7C84,dk steel gray
236,3799,#2B2C2F,vy dk pewter gray
236,413,#3E4144,dk pewter gray
237,704,#aeda62,bright chartreuse
238,703,#7ab146,chartreuse
239,702,#46a42e,kelly green
240,164,#B6D4A3,lt forest green
241,989,#92bf68,forest green
242,989,#92BF68,forest green
243,988,#68A046,md forest green
244,987,#408128,dk forest green
245,987,#408128,dk forest green
246,986,#2B671F,vy dk forest green
253,472,#D5E191,ul lt avocado green
254,472,#d5e191,ul lt avocado green
255,907,#C6E560,lt parrot green
256,704,#AEDA62,bright chartreuse
256,906,#89C53A,md parrot green
257,905,#568f2e,dk parrot green
258,904,#2F6800,vy dk parrot green
259,772,#E4FEB0,vy lt yellow green
260,3364,#9DB275,pine green
261,3053,#A4B583,green gray
262,3052,#798855,md green gray
262,3363,#6E8D58,md pine green
263,3362,#4A6332,dk pine green
264,3348,#ceeb90,lt yellow green
264,772,#e4feb0,vy lt yellow green
265,471,#b9c572,vy lt avocado green
266,3347,#76A451,md yellow green
266,471,#B9C572,vy lt avocado green
267,3346,#4B8835,hunter green
267,469,#819442,avocado green
267,470,#9EAD57,lt avocado green
268,3345,#2F6913,dk hunter green
268,3346,#4b8835,hunter green
268,937,#697C2E,md avocado green
269,936,#52651A,vy dk avocado green
271,819,#FFE1E1,lt baby pink
273,3787,#656040,dk brown gray
273,645,#515542,vy dk beaver gray
274,3752,#9ab3cd,vy lt antique blue
274,928,#C2D4D4,vy lt gray green
275,746,#FFFFE1,off white
276,543,#eaded3,ul vy lt beige brown
276,739,#f2d3a8,ul vy lt tan
277,830,#766400,dk golden olive
277,831,#928030,md golden olive
278,165,#EFF39D,vy lt moss green
278,3819,#E0E762,lt moss green
279,734,#D4CE75,lt olive green
280,166,#CED129,md lt moss green
280,581,#8BA136,moss green
280,733,#C0BA61,md olive green
281,580,#667913,dk moss green
281,732,#989239,olive green
288,445,#FFF983,lt lemon
289,307,#fee73d,lemon
290,444,#FAC800,dk lemon
291,444,#fac800,dk lemon
292,3078,#faf6b7,vy lt golden yellow
293,727,#F6E990,vy lt topaz
295,3822,#f2df70,lt straw
295,726,#F7DD68,lt topaz
297,973,#FADD00,bright canary
298,972,#F7BE12,deep canary
300,745,#fff1b2,lt pale yellow
301,743,#FFE48B,pale yellow
301,744,#FFE48B,pale yellow
302,743,#FFDD64,md yellow
303,742,#FFBC50,lt tangerine
304,741,#FF9D25,md tangerine
305,3821,#F2CD49,straw
305,725,#f7cc41,md lt topaz
305,728,#EFC11A,topaz
306,3820,#E2B735,dk straw
306,3852,#D2A021,vy dk straw
306,783,#DA9605,md topaz
307,782,#C77E00,dk topaz
308,781,#C77E00,vy dk topaz
309,780,#AF5E00,ul vy dk topaz
310,434,#8C602A,lt brown
311,3827,#F7B670,pale golden brown
311,3855,#F9DA8C,lt autumn gold
313,3854,#F9B460,md autumn gold
314,741,#ff9d25,md tangerine
316,740,#FA8500,tangerine
316,970,#F7860E,lt pumpkin
316,971,#FA8500,pumpkin
323,3825,#FDB78E,pale pumpkin
323,722,#F79168,lt orange spice
324,721,#f37c51,md orange spice
326,720,#EF6A41,dk orange spice
328,3341,#FF9774,apricot
329,3340,#FA8155,md apricot
330,947,#E66007,burnt orange
